movie_id,Title,Genre
20160027,10 Cloverfield Lane (2016),Science Fiction & Fantasy
20160027,10 Cloverfield Lane (2016),Drama
20160027,10 Cloverfield Lane (2016),Mystery & Suspense
20160028,The Edge of Seventeen (2016),Comedy
20160028,The Edge of Seventeen (2016),Drama
20160029,Toni Erdmann (2016),Art House & International
20160029,Toni Erdmann (2016),Drama
20160030,Rogue One: A Star Wars Story (2016),Action & Adventure
20160030,Rogue One: A Star Wars Story (2016),Science Fiction & Fantasy
20160030,Rogue One: A Star Wars Story (2016),Drama
20160031,Under The Shadow (2016),Art House & International
20160031,Under The Shadow (2016),Horror
20160031,Under The Shadow (2016),Mystery & Suspense
20160032,The Wailing (Goksung) (2016),Art House & International
20160032,The Wailing (Goksung) (2016),Mystery & Suspense
20160032,The Wailing (Goksung) (2016),Drama
20160033,O.J.: Made in America (2016),Documentary
20160034,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),Action & Adventure
20160034,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),Art House & International
20160035,Little Men (2016),Drama
20160036,The Age of Shadows (2016),Action & Adventure
